iters,ssim,psnr,rmse
1000+500,0.9794453739861486,17.867074012756348,0.12146505
10000+5000,0.9824052601307602,20.694056749343872,0.08938664
11000+5500,0.9829455360481758,21.07921600341797,0.085404634
12000+6000,0.983186695459601,21.043362617492676,0.08543582
13000+6500,0.9833882515983023,21.45727515220642,0.08432031
14000+7000,0.9832258069874069,21.169331073760986,0.08641329
15000+7500,0.983333213952766,21.290273666381836,0.08532639
16000+8000,0.9832310519053885,20.99522113800049,0.08872906
17000+8500,0.9827350012068343,20.714658498764038,0.09086379
18000+9000,0.9832472185705301,20.84020972251892,0.08785953
19000+9500,0.982979803084689,20.882195234298706,0.08952162
2000+1000,0.9812941416198095,19.554990530014038,0.10279592
20000+10000,0.9826854408462966,20.704532861709595,0.090629056
3000+1500,0.9816437874538367,19.687252640724182,0.10181214
30000+15000,0.9827904703411553,21.009156703948975,0.08795647
4000+2000,0.9818722085407268,20.066951513290405,0.096477814
40000+20000,0.9824857519613991,20.958303213119507,0.0861191
5000+2500,0.9820233878646264,20.412930250167847,0.09449097
50000+25000,0.9827189476961778,21.066772937774658,0.08525319
6000+3000,0.982213850851261,20.951741933822632,0.089274034
7000+3500,0.9822123413499423,20.375150442123413,0.092987105
8000+4000,0.9827468417933812,20.212337970733643,0.09310483
9000+4500,0.9831134457533609,20.93444585800171,0.08715695
